headword,pos,topic,confidence,rawTopic
fragmentation,noun,general,0.350,general
frigate,noun,general,0.410,communication
frost,verb,general,0.370,general
function,verb,general,0.850,general
future,adjective,general,0.980,general
gift,noun,general,0.390,general
guess,noun,general,0.340,communication
gulp,noun,body,0.510,body
guy,noun,general,0.570,general
gypsy,noun,society,0.650,society
half-price,adverb,general,0.490,general
high,adjective,general,0.830,general
hopeless,adjective,feelings,1.000,feelings
hug,verb,body,0.860,body
hyphen,noun,general,0.320,communication
incision,noun,health,0.840,health
incumbent,noun,society,0.660,society
inducement,noun,general,0.260,general
infallibly,adverb,general,0.280,communication
influence,verb,communication,0.590,communication
information,noun,general,0.500,general
ingenuity,noun,general,0.400,feelings
innermost,adjective,general,0.540,general
insubordinate,adjective,feelings,0.530,feelings
interrogation,noun,general,0.330,communication
invent,verb,general,0.550,general
joint,noun,general,0.490,communication
kid,verb,communication,0.750,communication
kill,verb,general,0.740,general
laudatory,adjective,communication,0.560,communication
leather,noun,shopping,0.720,shopping
line,noun,general,0.670,general
listener,noun,general,0.450,communication
liver,noun,body,0.640,body
magnanimous,adjective,general,0.390,science
major,adjective,general,0.830,general
may,modal auxiliary,general,0.880,general
mere,adjective,general,0.930,general
microscopy,noun,science,1.000,science
milieu,noun,general,0.490,society
model,noun,general,0.330,technology
mother,noun,family,0.960,family
munificence,noun,general,0.220,society
nasty,adjective,feelings,0.530,feelings
necessarily,adverb,general,0.990,general
nigh,adverb,general,0.460,general
nondescript,adjective,general,0.310,general
north,noun,general,0.390,travel
nose,noun,body,0.550,body
oblique,adjective,general,0.450,general
occur,verb,general,0.980,general
originality,noun,arts,0.640,arts
other,determiner,general,0.910,general
overlay,verb,general,0.420,general
pack,noun,shopping,0.720,shopping
particularly,adverb,general,0.980,general
pastor,noun,arts,0.760,arts
patchily,adverb,general,0.350,science
pendulum,noun,general,0.350,general
persecution,noun,general,0.460,society
pertinent,adjective,general,0.540,general
pet,noun,general,0.480,general
pilot,noun,general,0.450,work
plum,noun,food,0.830,food
poise,verb,body,0.570,body
positive,adjective,feelings,0.700,feelings
pretend,verb,general,0.320,general
pretty,adjective,general,0.200,feelings
professional,noun,work,0.990,work
protect,verb,general,0.820,general
rash,adjective,general,0.330,feelings
rather,adverb,general,0.900,general
recycling,noun,nature,0.840,nature
refreshing,adjective,general,0.470,general
refurbishment,noun,general,0.220,health
relapse,noun,general,0.380,general
resistance,noun,general,0.330,society
resort,verb,general,0.390,general
rest,noun,general,0.310,health
reunion,noun,general,0.400,family
review,noun,general,0.250,entertainment
sanitation,noun,general,0.370,society
sarcastic,adjective,feelings,0.540,feelings
scenery,noun,nature,0.650,nature
scientist,noun,science,0.600,science
search,verb,general,0.680,general
shoot,verb,general,0.270,entertainment
shrink,noun,general,0.460,health
sign,noun,general,0.390,general
simplify,verb,general,0.800,general
snack,noun,general,0.220,entertainment
something,pronoun,general,0.760,general
species,noun,science,0.730,science
sportsmanship,noun,sports,0.840,sports
stamp,noun,general,0.260,shopping
stimuli,noun,science,0.950,science
strap,noun,shopping,0.520,shopping
strip,verb,general,0.390,general
student,noun,communication,0.570,communication
subsist,verb,general,0.540,general
sulphur,noun,general,0.390,science
supper,noun,food,0.740,food
surface,noun,nature,0.700,nature
tactfully,adverb,general,0.470,communication
tantalize/tantalise,verb,general,0.380,science
telephone,noun,general,0.540,general
tender,adjective,general,0.330,feelings
thereby,adverb,general,0.170,general
third,adjective,general,0.630,general
thirst,verb,general,0.450,body
three,number,general,0.450,general
topple,verb,general,0.480,society
transparent,adjective,general,0.730,general
truck,noun,general,0.570,general
trust,verb,general,0.510,general
turtle,noun,animals,0.890,animals
tycoon,noun,general,0.490,general
unequivocal,adjective,general,0.360,communication
ungodly,adjective,general,0.620,general
unnervingly,adverb,general,0.400,feelings
vegetarian,adjective,food,0.710,food
vigorously,adverb,general,0.840,general
visitor,noun,general,0.430,general
waiter,noun,general,0.570,general
which,determiner,general,0.390,general
