headword,pos,topic,confidence,rawTopic
accessible,adjective,general,0.870,general
accessory,noun,shopping,1.000,shopping
accident,noun,general,0.470,travel
accidental,adjective,general,1.000,general
accidentally,adverb,general,1.000,general
accommodation,noun,travel,0.980,travel
accompany,verb,general,0.900,general
accomplish,verb,general,0.560,general
according to,preposition,general,0.980,general
accordingly,adverb,general,1.000,general
account,noun,business,0.990,business
account,verb,communication,0.760,communication
accountability,noun,society,0.710,society
accountant,noun,work,0.720,work
accrue,verb,business,0.960,business
accumulate,verb,general,0.950,general
accuracy,noun,communication,0.500,communication
accurate,adjective,general,0.980,general
accurately,adverb,general,0.960,general
accusation,noun,society,0.760,society
accuse,verb,society,0.790,society
accustom,verb,general,0.920,general
accustomed,adjective,general,0.840,general
ache,noun,health,0.920,health
ache,verb,health,0.820,health
achievable,adjective,general,0.960,general
achieve,verb,general,0.910,general
achievement,noun,general,0.380,general
acid,noun,science,0.950,science
acidic,adjective,science,0.750,science
acknowledge,verb,communication,0.860,communication
acknowledgment/acknowledgement,noun,communication,0.960,communication
acoustic,adjective,science,0.720,science
acoustically,adverb,general,0.550,general
acoustics,noun,science,0.990,science
acquaintance,noun,family,0.970,family
acquire,verb,general,0.790,general
acquisition,noun,business,0.880,business
acre,noun,general,0.680,general
acreage,noun,nature,0.500,nature
acrobatic,adjective,general,0.420,body
acrobatically,adverb,body,0.580,body
acrobatics,noun,general,0.490,sports
across,adverb,general,0.990,general
across,preposition,general,1.000,general
act,noun,general,0.340,society
act,verb,general,0.970,general
action,noun,general,0.860,general
active,adjective,general,0.960,general
actively,adverb,general,1.000,general
activity,noun,general,0.760,general
actor,noun,general,0.460,entertainment
actress,noun,general,0.440,entertainment
actual,adjective,general,1.000,general
actually,adverb,general,0.990,general
acute,adjective,general,0.620,general
acutely,adverb,general,0.990,general
ad,noun,business,0.910,business
ad lib,adjective,general,0.350,communication
ad-lib,verb,communication,0.500,communication
adapt,verb,general,0.970,general
adaptable,adjective,feelings,0.620,feelings
add,verb,general,0.940,general
addict,noun,health,0.970,health
addicted,adjective,health,0.860,health
addiction,noun,health,0.990,health
addition,noun,general,0.470,general
additional,adjective,general,1.000,general
additionally,adverb,general,0.990,general
additive,adjective,science,0.500,science
additive,noun,food,0.520,food
address,noun,city,0.780,city
address,verb,communication,0.940,communication
addressee,noun,communication,1.000,communication
adept,adjective,general,0.650,general
adept,noun,general,0.410,feelings
adequate,adjective,general,1.000,general
adequately,adverb,general,1.000,general
adhere,verb,general,0.910,general
adhesion,noun,science,0.930,science
adjective,noun,communication,0.830,communication
adjoin,verb,general,0.420,general
adjoining,adjective,general,0.620,general
adjust,verb,general,0.990,general
adjustable,adjective,general,0.970,general
adjustment,noun,general,0.960,general
administration,noun,society,0.870,society
administrative,adjective,work,0.660,work
admirable,adjective,feelings,0.590,feelings
admiration,noun,feelings,1.000,feelings
admire,verb,feelings,0.980,feelings
admiringly,adverb,feelings,0.730,feelings
admission,noun,education,0.930,education
admit,verb,communication,0.690,communication
admittedly,adverb,general,0.950,general
adopt,verb,family,0.860,family
adopted,adjective,family,0.880,family
adoption,noun,family,0.970,family
adorable,adjective,general,0.680,general
adore,verb,feelings,1.000,feelings
adorn,verb,general,0.490,arts
adornment,noun,general,0.480,shopping
adrenaline,noun,general,0.470,health
adult,adjective,family,0.630,family
adult,noun,family,0.970,family
adulterate,verb,food,0.900,food
advance,noun,general,0.690,general
advance,verb,general,0.950,general
advanced,adjective,general,0.830,general
advancement,noun,work,0.740,work
advantage,noun,general,0.940,general
advantageous,adjective,general,0.990,general
advent,noun,general,0.590,general
adventure,noun,travel,0.890,travel
adventurous,adjective,feelings,0.950,feelings
adverb,noun,communication,0.920,communication
adverbial,adjective,communication,0.910,communication
adversary,noun,society,0.770,society
adverse,adjective,general,0.980,general
adversely,adverb,general,1.000,general
adversity,noun,feelings,0.540,feelings
advert,noun,business,0.950,business
advertise,verb,business,1.000,business
advertisement,noun,business,0.970,business
advertising,noun,business,0.990,business
advice,noun,communication,0.860,communication
advise,verb,communication,0.800,communication
adviser/advisor,noun,work,0.660,work
advisory,adjective,general,0.440,general
aerobics,noun,sports,0.970,sports
aesthetic,adjective,arts,0.950,arts
aesthetically,adverb,arts,0.730,arts
affair,noun,general,0.400,general
affect,verb,general,0.770,general
affectation,noun,feelings,0.740,feelings
affection,noun,feelings,1.000,feelings
affectionate,adjective,feelings,1.000,feelings
affectionately,adverb,feelings,0.840,feelings
afford,verb,business,0.840,business
affordable,adjective,business,0.500,business
afraid,adjective,feelings,1.000,feelings
after,adverb,general,1.000,general
after,conjunction,general,1.000,general
after,preposition,general,1.000,general
afternoon,noun,general,1.000,general
afterward,adverb,general,1.000,general
afterwards,adverb,general,1.000,general
again,adverb,general,1.000,general
against,preposition,general,1.000,general
age,noun,general,0.630,general
aged,adjective,general,0.600,general
ageless,adjective,body,0.650,body
agency,noun,general,0.400,society
agenda,noun,work,0.960,work
agent,noun,work,0.710,work
aggressive,adjective,feelings,0.950,feelings
aggressively,adverb,general,0.730,general
aghast,adjective,feelings,1.000,feelings
agile,adjective,general,0.410,general
agility,noun,body,0.680,body
ago,adverb,general,1.000,general
agonize,verb,feelings,0.960,feelings
agonize/agonise,verb,feelings,0.930,feelings
agony,noun,feelings,0.780,feelings
agree,verb,general,0.420,communication
agreeable,adjective,feelings,0.870,feelings
agreement,noun,general,0.420,communication
agricultural,adjective,general,0.400,nature
agriculture,noun,general,0.250,nature
ahead,adverb,general,0.980,general
aid,noun,general,0.400,general
aid,verb,general,0.910,general
aim,noun,general,0.860,general
aim,verb,general,0.890,general
aimless,adjective,feelings,0.720,feelings
aimlessly,adverb,general,0.940,general
air,noun,nature,0.960,nature
air conditioning,noun,home,0.650,home
air force,noun,society,0.990,society
aircraft,noun,travel,1.000,travel
aircrew,noun,travel,0.560,travel
airline,noun,travel,1.000,travel
airplane/aeroplane,noun,travel,1.000,travel
airport,noun,travel,1.000,travel
aisle,noun,shopping,0.690,shopping
alarm,noun,home,0.620,home
alarm,verb,feelings,0.730,feelings
alarm clock,noun,home,0.940,home
album,noun,entertainment,0.960,entertainment
alcohol,noun,food,0.970,food
alcoholic,adjective,health,0.740,health
alcoholic,noun,health,0.870,health
alcoholism,noun,health,1.000,health
alert,verb,communication,0.520,communication
alienate,verb,feelings,0.770,feelings
align,verb,general,0.910,general
alignment,noun,general,0.480,general
alike,adjective,general,1.000,general
alike,adverb,general,1.000,general
alive,adjective,general,0.950,general
all,adverb,general,1.000,general
all,determiner,general,1.000,general
all,pronoun,general,1.000,general
all right,adjective,general,0.930,general
all right,adverb,general,0.990,general
all-encompassing,adjective,general,1.000,general
allegation,noun,society,0.780,society
allege,verb,communication,0.610,communication
allegorical,adjective,arts,0.940,arts
allegory,noun,arts,0.950,arts
allergic,adjective,health,1.000,health
alleviate,verb,health,0.640,health
alliance,noun,society,0.990,society
allot,verb,general,0.770,general
allotment,noun,general,0.230,nature
allow,verb,general,0.990,general
allowance,noun,business,0.820,business
allude,verb,communication,0.990,communication
allusion,noun,communication,0.780,communication
ally,noun,society,0.910,society
ally,verb,society,0.710,society
almost,adverb,general,1.000,general
alone,adjective,general,0.790,general
alone,adverb,general,0.950,general
along,adverb,general,0.990,general
along,preposition,general,1.000,general
alongside,preposition,general,1.000,general
aloud,adverb,communication,0.660,communication
alphabet,noun,communication,0.860,communication
alphabetical,adjective,general,0.540,general
already,adverb,general,1.000,general
alright,adjective,general,0.910,general
alright,adverb,general,0.990,general
also,adverb,general,1.000,general
altar,noun,arts,1.000,arts
alter,verb,general,0.890,general
alternate,verb,general,0.980,general
alternative,adjective,general,1.000,general
alternative,noun,general,0.980,general
alternatively,adverb,general,0.980,general
although,conjunction,general,1.000,general
altitude,noun,general,0.460,nature
altogether,adverb,general,1.000,general
altruism,noun,feelings,0.890,feelings
altruistic,adjective,feelings,1.000,feelings
aluminum/aluminium,noun,science,0.770,science
always,adverb,general,1.000,general
am,be-verb,general,0.990,general
amateur,adjective,general,0.430,general
amateur,noun,work,0.560,work
amaze,verb,feelings,0.900,feelings
amazed,adjective,feelings,1.000,feelings
amazement,noun,feelings,1.000,feelings
amazing,adjective,general,0.760,general
amazingly,adverb,general,0.990,general
ambassador,noun,society,0.960,society
ambiguity,noun,communication,0.960,communication
ambiguous,adjective,general,0.610,general
ambition,noun,feelings,0.980,feelings
ambitious,adjective,feelings,0.980,feelings
ambulance,noun,health,0.860,health
amid,preposition,general,1.000,general
ammonia,noun,science,0.990,science
among,preposition,general,1.000,general
amongst,preposition,general,1.000,general
amorphous,adjective,general,0.860,general
amorphously,adverb,general,0.960,general
amount,noun,general,1.000,general
ample,adjective,general,1.000,general
amplification,noun,communication,0.610,communication
amplifier,noun,technology,0.980,technology
amplify,verb,communication,0.690,communication
amply,adverb,general,1.000,general
amuse,verb,entertainment,0.810,entertainment
amused,adjective,feelings,1.000,feelings
amusement,noun,entertainment,0.860,entertainment
amusing,adjective,feelings,0.510,feelings
an,determiner,general,1.000,general
analogy,noun,communication,0.810,communication
analysis,noun,education,0.560,education
analyst,noun,work,0.790,work
analyze/analyse,verb,general,0.550,general
anarchic,adjective,society,0.960,society
ancestor,noun,family,1.000,family
anchor,noun,travel,0.800,travel
anchor,verb,general,0.360,travel
anchorage,noun,travel,0.880,travel
anchored,adjective,general,0.580,general
anchorman,noun,entertainment,0.520,entertainment
anchorperson,noun,entertainment,0.670,entertainment
ancient,adjective,general,0.760,general
and,conjunction,general,1.000,general
angel,noun,arts,0.990,arts
anger,noun,feelings,1.000,feelings
angle,noun,science,0.660,science
angle,verb,general,0.310,general
angrily,adverb,feelings,0.540,feelings
angry,adjective,feelings,1.000,feelings
angst,noun,feelings,1.000,feelings
angsty,adjective,feelings,1.000,feelings
anguish,noun,feelings,1.000,feelings
angular,adjective,general,0.670,general
angularity,noun,arts,0.520,arts
animal,noun,animals,1.000,animals
animate,verb,general,0.550,general
animated,adjective,feelings,0.770,feelings
animatedly,adverb,communication,0.660,communication
animation,noun,entertainment,0.880,entertainment
ankle,noun,body,1.000,body
annex,noun,city,0.810,city
annex,verb,society,0.910,society
anniversary,noun,general,0.720,general
announce,verb,communication,1.000,communication
announcement,noun,communication,1.000,communication
annoy,verb,feelings,0.930,feelings
annoyance,noun,feelings,1.000,feelings
annoyed,adjective,feelings,1.000,feelings
annoying,adjective,feelings,0.650,feelings
annual,adjective,general,1.000,general
annually,adverb,general,1.000,general
anonymity,noun,society,0.730,society
anonymous,adjective,general,0.780,general
another,determiner,general,1.000,general
another,pronoun,general,1.000,general
answer,noun,communication,0.640,communication
answer,verb,communication,0.750,communication
ant,noun,animals,1.000,animals
antediluvian,adjective,general,0.660,general
anthology,noun,arts,0.970,arts
anthropological,adjective,science,0.720,science
anthropologically,adverb,general,0.490,science
anthropologist,noun,general,0.440,science
anthropology,noun,science,0.960,science
anti,adjective,general,0.890,general
antiaircraft,adjective,society,0.930,society
antibacterial,adjective,health,1.000,health
anticancer,noun,health,1.000,health
anticipate,verb,general,0.820,general
anticipation,noun,feelings,1.000,feelings
anticlimactic,adjective,general,0.440,feelings
anticlimactically,adverb,general,0.840,general
antics,noun,entertainment,0.600,entertainment
antidote,noun,health,1.000,health
antipollution,noun,nature,0.980,nature
antiquated,adjective,general,0.930,general
antique,adjective,general,0.490,arts
antique,noun,general,0.460,arts
antiquity,noun,arts,0.970,arts
antistatic,adjective,technology,0.690,technology
antithesis,noun,communication,0.810,communication
antithetical,adjective,general,0.520,general
antivirus,noun,technology,1.000,technology
antonym,noun,communication,0.980,communication
anxiety,noun,feelings,0.970,feelings
anxious,adjective,feelings,1.000,feelings
anxiously,adverb,feelings,0.950,feelings
any,determiner,general,1.000,general
any,pronoun,general,1.000,general
anybody,pronoun,general,1.000,general
anyhow,adverb,general,0.990,general
anymore,adverb,general,1.000,general
anyone,pronoun,general,1.000,general
anything,pronoun,general,1.000,general
anyway,adverb,general,0.990,general
anywhere,adverb,general,1.000,general
apart,adverb,general,1.000,general
apartment,noun,home,0.940,home
ape,noun,animals,1.000,animals
apologize/apologise,verb,communication,0.830,communication
apology,noun,communication,0.850,communication
apostle,noun,arts,1.000,arts
apostrophe,noun,communication,0.990,communication
appall/appal,verb,feelings,1.000,feelings
appalling,adjective,feelings,0.750,feelings
appallingly,adverb,general,0.890,general
apparent,adjective,general,0.990,general
apparently,adverb,general,0.980,general
appeal,noun,general,0.330,society
appeal,verb,general,0.480,communication
appear,verb,general,0.880,general
appearance,noun,body,0.990,body
appetite,noun,food,0.970,food
applaud,verb,general,0.290,entertainment
applause,noun,entertainment,0.510,entertainment
apple,noun,food,1.000,food
appliance,noun,home,0.980,home
applicant,noun,work,0.930,work
application,noun,general,0.480,work
apply,verb,general,0.750,general
appoint,verb,work,0.970,work
appointment,noun,work,0.640,work
appreciate,verb,feelings,0.850,feelings
appreciation,noun,feelings,0.960,feelings
appreciative,adjective,feelings,0.990,feelings
apprehend,verb,society,0.900,society
apprehensive,adjective,feelings,1.000,feelings
apprentice,noun,work,0.990,work
apprentice,verb,work,0.830,work
apprenticeship,noun,work,0.810,work
approach,noun,general,0.810,general
approach,verb,general,0.910,general
appropriate,adjective,general,0.990,general
appropriately,adverb,general,0.990,general
approval,noun,feelings,0.640,feelings
approve,verb,general,0.790,general
approximate,adjective,general,0.990,general
approximately,adverb,general,1.000,general
apron,noun,general,0.400,shopping
apt,adjective,general,0.980,general
apt to,verb,general,0.950,general
aptitude,noun,education,0.860,education
aqua,adjective,general,0.380,general
aquarium,noun,animals,0.790,animals
arcane,adjective,general,0.900,general
arcanely,adverb,general,0.760,general
arch,noun,city,0.970,city
archaeologist/archeologist,noun,work,0.540,work
archetypal,adjective,arts,0.720,arts
archetype,noun,arts,0.990,arts
architect,noun,work,0.920,work
architecture,noun,city,0.720,city
archival,adjective,general,0.440,arts
arctic,adjective,nature,0.990,nature
ardor/ardour,noun,feelings,1.000,feelings
arduous,adjective,general,0.770,general
arduously,adverb,general,0.830,general
are,be-verb,general,0.990,general
area,noun,city,0.780,city
arena,noun,sports,0.830,sports
argue,verb,communication,0.940,communication
argument,noun,communication,0.960,communication
arise,verb,general,0.950,general
aristocracy,noun,society,1.000,society
arithmetic,noun,science,0.590,science
arm,noun,body,1.000,body
arm,verb,general,0.420,body
armchair,noun,home,1.000,home
armed,adjective,society,0.890,society
armful,noun,general,0.770,general
armory/armoury,noun,society,0.950,society
army,noun,society,1.000,society
around,adverb,general,1.000,general
around,preposition,general,1.000,general
arouse,verb,feelings,0.890,feelings
arrange,verb,general,0.930,general
arrangement,noun,general,0.730,general
arrest,noun,society,1.000,society
arrest,verb,society,1.000,society
arrival,noun,travel,0.990,travel
arrive,verb,travel,0.870,travel
arrogant,adjective,feelings,0.990,feelings
arrow,noun,sports,0.540,sports
art,noun,arts,1.000,arts
artery,noun,body,0.960,body
article,noun,general,0.630,general
articulate,adjective,communication,0.980,communication
articulate,verb,communication,1.000,communication
articulation,noun,communication,0.980,communication
artifact,noun,arts,0.990,arts
artifice,noun,general,0.310,arts
artificial,adjective,general,0.880,general
artificially,adverb,general,0.970,general
artist,noun,arts,0.790,arts
artistic,adjective,arts,0.950,arts
artistically,adverb,arts,0.920,arts
artistry,noun,arts,1.000,arts
as,conjunction,general,1.000,general
as,preposition,general,1.000,general
ash,noun,nature,0.930,nature
ashamed,adjective,feelings,1.000,feelings
aside,adverb,general,0.520,general
ask,verb,communication,0.850,communication
asleep,adjective,general,0.370,general
aspect,noun,general,0.880,general
aspiration,noun,feelings,0.850,feelings
aspire,verb,feelings,0.630,feelings
aspirin,noun,health,1.000,health
assault,noun,society,0.990,society
assemble,verb,general,0.750,general
assembly,noun,society,0.770,society
assert,verb,communication,0.960,communication
assertion,noun,communication,0.990,communication
assess,verb,general,0.630,general
assessment,noun,education,0.990,education
assign,verb,general,0.460,work
assignment,noun,education,1.000,education
assimilate,verb,society,0.800,society
assimilation,noun,society,0.940,society
assist,verb,general,0.820,general
assistance,noun,general,0.760,general
assistant,adjective,work,0.660,work
assistant,noun,work,1.000,work
associate,verb,general,0.670,general
association,noun,society,0.830,society
assume,verb,general,0.880,general
assumption,noun,general,0.500,general
assurance,noun,feelings,0.880,feelings
assure,verb,communication,0.810,communication
astonish,verb,feelings,0.930,feelings
astonished,adjective,feelings,1.000,feelings
astonishing,adjective,general,0.800,general
astonishment,noun,feelings,1.000,feelings
astray,adverb,travel,0.580,travel
astringent,noun,health,0.680,health
astronaut,noun,science,0.680,science
astronomer,noun,science,0.600,science
astronomy,noun,science,1.000,science
at,preposition,general,1.000,general
athlete,noun,sports,1.000,sports
athletic,adjective,sports,0.800,sports
athleticism,noun,sports,0.970,sports
athletics,noun,sports,1.000,sports
atmosphere,noun,nature,0.610,nature
atmospheric,adjective,general,0.420,nature
atom,noun,science,1.000,science
atomic,adjective,science,0.970,science
attach,verb,general,0.780,general
attached,adjective,general,0.480,feelings
attachment,noun,feelings,0.660,feelings
attack,noun,society,0.910,society
attack,verb,society,0.670,society
attain,verb,general,0.970,general
attainable,adjective,general,0.990,general
attainment,noun,education,0.580,education
attempt,noun,general,0.890,general
attempt,verb,general,0.970,general
attend,verb,education,0.800,education
attendance,noun,education,0.950,education
attention,noun,general,0.330,feelings
attentive,adjective,feelings,0.830,feelings
attentively,adverb,general,0.900,general
attitude,noun,feelings,1.000,feelings
attract,verb,general,0.900,general
attraction,noun,feelings,0.840,feelings
attractive,adjective,body,0.920,body
attractiveness,noun,body,0.960,body
attribute,noun,feelings,0.530,feelings
attribute,verb,general,0.640,general
attributive,adjective,communication,0.980,communication
attrition,noun,general,0.280,society
attuned,adjective,feelings,0.660,feelings
atypical,adjective,general,0.990,general
aubergine,noun,food,1.000,food
audience,noun,communication,0.550,communication
audio,adjective,general,0.430,technology
audit,noun,business,1.000,business
audit,verb,business,0.990,business
audition,noun,arts,0.700,arts
aunt,noun,family,1.000,family
austere,adjective,general,0.530,general
austerely,adverb,general,0.920,general
austerity,noun,business,0.600,business
authenticity,noun,arts,0.620,arts
author,noun,arts,0.710,arts
authoritative,adjective,general,0.440,feelings
authority,noun,society,0.990,society
authorize/authorise,verb,society,0.630,society
automate,verb,technology,0.980,technology
automatic,adjective,general,0.790,general
automatic,verb,general,0.440,general
automatically,adverb,general,0.990,general
autonomous,adjective,general,0.810,general
autonomously,adverb,general,0.960,general
autopilot,noun,travel,0.590,travel
autumn,noun,nature,0.690,nature
auxiliary,adjective,general,0.820,general
availability,noun,general,0.730,general
available,adjective,general,1.000,general
avenue,noun,city,0.980,city
average,adjective,general,0.990,general
average,noun,general,0.860,general
averse,adjective,feelings,0.990,feelings
avian,adjective,animals,0.990,animals
avid,adjective,feelings,0.960,feelings
avoid,verb,general,0.990,general
await,verb,general,0.980,general
awake,adjective,general,0.490,general
award,noun,general,0.290,society
award,verb,general,0.320,general
aware,adjective,feelings,0.550,feelings
awareness,noun,feelings,0.930,feelings
away,adverb,general,1.000,general
awe,noun,feelings,1.000,feelings
awe,verb,feelings,0.980,feelings
awesome,adjective,general,0.740,general
awful,adjective,general,0.830,general
awkward,adjective,feelings,0.510,feelings
ax/axe,noun,general,0.410,work
axiom,noun,science,0.790,science
axiomatic,adjective,general,0.730,general
axis,noun,science,0.840,science
babble,verb,communication,1.000,communication
baby,noun,family,1.000,family
babysit,verb,family,0.530,family
babysitter,noun,work,0.520,work
back,adjective,general,0.770,general
back,adverb,general,0.980,general
back,noun,body,0.980,body
back,verb,general,0.710,general
backache,noun,health,0.990,health
background,noun,general,0.740,general
backpack,noun,travel,0.610,travel
backpacker,noun,travel,1.000,travel
backpacking,noun,travel,1.000,travel
backup,noun,technology,0.800,technology
backward/backwards,adverb,general,0.950,general
backyard,noun,home,0.990,home
bacon,noun,food,1.000,food
bad,adjective,general,1.000,general
bad-tempered,adjective,feelings,1.000,feelings
badge,noun,society,0.570,society
badly,adverb,general,1.000,general
badminton,noun,sports,1.000,sports
bag,noun,shopping,0.530,shopping
baggage,noun,travel,1.000,travel
bake,verb,food,1.000,food
baker,noun,work,0.970,work
bakery,noun,food,0.740,food
balance,noun,general,0.840,general
balance,verb,general,0.920,general
balanced,adjective,general,0.900,general
balcony,noun,home,0.690,home
bald,adjective,body,1.000,body
bald,verb,body,0.610,body
baldly,adverb,communication,0.590,communication
balky,adjective,feelings,0.680,feelings
ball,noun,sports,0.950,sports
ballad,noun,arts,0.740,arts
ballet,noun,arts,0.970,arts
balloon,noun,entertainment,0.830,entertainment
ballot,noun,society,1.000,society
ban,noun,society,0.990,society
ban,verb,society,0.930,society
banana,noun,food,1.000,food
band,noun,entertainment,0.940,entertainment
bandage,noun,health,1.000,health
bang,noun,general,0.450,general
bang,verb,general,0.470,body
banish,verb,society,0.670,society
banishment,noun,society,1.000,society
bank,noun,business,0.970,business
bank,verb,business,0.620,business
bank account,noun,business,1.000,business
banker,noun,business,0.710,business
banking,noun,business,1.000,business
bankrupt,verb,business,1.000,business
bankruptcy,noun,business,1.000,business
bar,noun,general,0.440,food
bar,verb,general,0.710,general
barbecue,noun,food,0.980,food
barbecue,verb,food,1.000,food
barber,noun,work,0.980,work
barbershop,noun,city,0.530,city
bare,adjective,general,0.710,general
bare,verb,general,0.450,general
barely,adverb,general,1.000,general
bargain,noun,shopping,0.900,shopping
bargain,verb,shopping,0.540,shopping
bark,noun,animals,0.680,animals
bark,verb,animals,0.730,animals
barley,noun,food,0.960,food
barman,noun,work,0.960,work
barn,noun,general,0.390,city
barometer,noun,nature,0.930,nature
baroque,adjective,arts,1.000,arts
barrel,noun,general,0.460,home
barren,adjective,nature,0.850,nature
barrier,noun,general,0.500,general
bartender,noun,work,0.970,work
base,noun,general,0.650,general
base,verb,general,0.940,general
baseball,noun,sports,1.000,sports
basement,noun,home,1.000,home
basic,adjective,general,1.000,general
basically,adverb,general,0.990,general
basin,noun,home,0.800,home
basis,noun,general,0.960,general
basket,noun,home,0.670,home
basketball,noun,sports,1.000,sports
bat,noun,animals,0.690,animals
bat,verb,sports,0.740,sports
batch,noun,general,0.440,general
bath,noun,home,0.970,home
bathe,verb,body,0.710,body
bathhouse,noun,city,0.920,city
bathroom,noun,home,1.000,home
batter,,food,0.900,food
batter,noun,food,0.950,food
batter,verb,general,0.340,food
battered,adjective,general,0.480,general
battery,noun,technology,0.940,technology
battle,noun,society,1.000,society
battlefield,noun,society,0.990,society
bauble,noun,shopping,0.660,shopping
bay,noun,nature,0.970,nature
be,be-verb,general,1.000,general
beach,noun,nature,0.890,nature
beagle,noun,animals,1.000,animals
beak,noun,animals,0.820,animals
beam,noun,general,0.450,city
bean,noun,food,1.000,food
bear,noun,animals,1.000,animals
bear,verb,general,0.830,general
beard,noun,body,1.000,body
bearded,adjective,body,1.000,body
bearing,noun,general,0.230,travel
beast,noun,animals,1.000,animals
beat,noun,entertainment,0.510,entertainment
beat,verb,general,0.420,general
beautiful,adjective,general,0.720,general
beautifully,adverb,general,0.990,general
beautify,verb,general,0.310,general
beauty,noun,body,0.840,body
beaver,noun,animals,1.000,animals
because,conjunction,general,1.000,general
because of,preposition,general,1.000,general
become,verb,general,1.000,general
bed,noun,home,1.000,home
bedroom,noun,home,1.000,home
bedside,noun,home,0.630,home
bee,noun,animals,1.000,animals
beef,noun,food,1.000,food
been,be-verb,general,0.990,general
beer,noun,food,1.000,food
before,adverb,general,1.000,general
before,conjunction,general,1.000,general
before,preposition,general,1.000,general
beforehand,adverb,general,1.000,general
beg,verb,general,0.380,general
begin,verb,general,1.000,general
beginner,noun,education,0.920,education
beginning,noun,general,0.980,general
beguiling,adjective,feelings,0.610,feelings
beguilingly,adverb,general,0.770,general
behalf,noun,general,0.600,general
behave,verb,general,0.690,general
behavior/behaviour,noun,feelings,0.710,feelings
behest,noun,communication,0.570,communication
behind,adverb,general,1.000,general
behind,preposition,general,1.000,general
being,noun,general,0.830,general
belief,noun,feelings,0.900,feelings
believably,adverb,general,0.920,general
believe,verb,feelings,0.550,feelings
bell,noun,home,0.590,home
belligerence,noun,general,0.470,feelings
belligerent,adjective,feelings,0.660,feelings
bellow,verb,communication,0.900,communication
belly,noun,body,1.000,body
belong,verb,general,0.850,general
belongings,noun,general,0.400,travel
beloved,adjective,feelings,0.900,feelings
below,adverb,general,1.000,general
below,preposition,general,1.000,general
belt,noun,shopping,1.000,shopping
bench,noun,home,0.600,home
